Run	Dataset1	Dataset2	Phonological	Syntactic	Geographic	Genetic	Inventory	Featural	Entropy_pretrain_train	Entropy_pretrain_test	Entropy_pretrain_dev	Pretrain Training set size	Finetune Training set size	Total Size	KL_train	KL_test	KL_dev	UniqueLabels_finetune_test	UniqueLabels_pretrain_test	Formalism	Genre overlap	Formality overlap	genreoverlap_news	genreoverlap_political	genreoverlap_science	genreoverlap_academic	genreoverlap_fiction	genreoverlap_chats	Model Percentage Gain	Model gains	Model absolute
0	eng.rst.gum	eng.pdtb.pdtb	0.0	0.0	0.0	0.0	0.0	0.0	9.35	7.48	7.48	13897.0	43920.0	57817.0	12.704641	12.834348	12.641375	23.0	23.0	0.0	1.0	1.0	7.71	0.0	0.0	0.0	0.0	0.0	2.3271276595744688	1.5507310589277807	68.18785999113868
0	eng.rst.gum	eng.rst.gum	0.0	0.0	0.0	0.0	0.0	0.0	9.35	7.48	7.48	13897.0	13897.0	27794.0	0.0	0.0	0.0	23.0	23.0	1.0	2.0	2.0	7.71	13.28	13.2	19.95	12.59	33.27	0.0	0.0	53.3715925394548
0	eng.rst.gum	eng.rst.rstdt	0.0	0.0	0.0	0.0	0.0	0.0	9.35	7.48	7.48	13897.0	16002.0	29899.0	4.438159	4.079748	4.531101	17.0	23.0	1.0	1.0	1.0	7.71	0.0	0.0	0.0	0.0	0.0	3.1437125748503205	1.9489559164733308	63.944315545243626
0	eng.rst.gum	eng.sdrt.stac	0.0	0.0	0.0	0.0	0.0	0.0	9.35	7.48	7.48	13897.0	9580.0	23477.0	12.705051	12.834799	12.641628	16.0	23.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	33.27	20.331325301204824	8.94039735099338	52.913907284768214
0	eng.rst.gum	fas.rst.prstc	0.57	0.9	0.5	1.0	0.57	0.7	9.35	7.48	7.48	13897.0	4100.0	17997.0	4.420834	4.076646	4.430621	16.0	23.0	1.0	1.0	1.0	7.71	0.0	0.0	0.0	0.0	0.0	29.500000000000007	9.966216216216218	43.75
0	eng.rst.gum	fra.sdrt.annodis	0.43	0.46	0.0	0.9	0.48	0.5	9.35	7.48	7.48	13897.0	2185.0	16082.0	7.67005	7.666781	7.594859	18.0	23.0	0.0	1.0	1.0	7.71	1.88	0.0	19.95	0.0	0.0	33.49514563106796	11.04	44.0
0	eng.rst.gum	nld.rst.nldt	0.57	0.49	0.0	0.6	0.49	0.5	9.35	7.48	7.48	13897.0	1608.0	15505.0	2.196064	2.265207	2.884335	29.0	23.0	1.0	1.0	2.0	0.0	0.0	13.2	0.0	0.0	0.0	12.037037037037063	3.9877300613497013	37.11656441717792
0	eng.rst.gum	por.rst.cstn	0.57	0.47	0.1	0.9	0.42	0.5	9.35	7.48	7.48	13897.0	4148.0	18045.0	3.258316	5.088915	4.897392	21.0	23.0	1.0	1.0	1.0	7.71	0.0	0.0	0.0	0.0	0.0	7.499999999999991	4.411764705882348	63.23529411764706
0	eng.rst.gum	rus.rst.rrt	0.28	0.49	0.2	0.9	0.56	0.5	9.35	7.48	7.48	13897.0	28822.0	42719.0	1.438421	1.37876	1.635247	20.0	23.0	1.0	1.0	1.0	7.71	0.0	13.2	19.95	0.0	0.0	2.3072252580449284	1.3366162504396755	59.26837847344355
0	eng.rst.gum	spa.rst.rststb	0.34	0.4	0.1	0.9	0.55	0.5	9.35	7.48	7.48	13897.0	2240.0	16137.0	2.169702	1.41753	2.193484	25.0	23.0	1.0	1.0	1.0	0.0	0.0	13.2	19.95	0.0	0.0	38.97058823529412	12.441314553990612	44.36619718309859
